"filename", "language", "C#", "comment", "blank", "total"
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Data\ArmorData.cs", "C#", -11, 0, -1, -12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Data\AttackData.cs", "C#", -11, 0, -1, -12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Data\CardDataSO.cs", "C#", -9, 0, -1, -10
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Data\LootData.cs", "C#", 51, 2, 8, 61
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Data\SeedDataSO.cs", "C#", -15, -2, -1, -18
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Data\ZombieSpawnData.cs", "C#", 46, 0, 5, 51
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Enums.cs", "C#", -26, 0, -4, -30
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Framework\Commands.cs", "C#", 6, 0, 2, 8
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Framework\Enums.cs", "C#", 26, 0, 4, 30
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Framework\Events.cs", "C#", 3, 0, 2, 5
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Level\Classes\Configs.cs", "C#", 53, 2, 8, 63
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Level\Level.cs", "C#", -33, -5, 1, -37
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\Level\LevelDaveHouse.cs", "C#", 13, -1, 2, 14
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\ScriptableObject\ArmorData.cs", "C#", 11, 0, 1, 12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Game\Classes\ScriptableObject\AttackData.cs", "C#", 11, 0, 1, 12
